;measures;adjustments;design;sum
waist;90.0;11.0;;101.0
hips;100.5;9.0;;109.5
bust;99.0;2.0;;101.0
back_length_till_waist;38.5;;;38.5
TBL;68.0;;;68.0
neck;42.0;1.5;;43.5
shoulder_width;4.0;;;4.0
bust_separation;17.0;;;17.0
back_neck_depth;3.0;;;3.0
front_neck_depth;7.0;;;7.0
armscye_lowing;;;3.5;3.5
back_neck_plain;;;2.0;2.0
front_neck_plain;;;16.0;16.0
back_neck_lowing;;;7.0;7.0
front_neck_lowing;;;12.0;12.0
hem;;;1.0;1.0
fitted;;;0.0;0.0
dart;;;1.0;1.0
lower_bust;89.0;;;89.0
bust_height;25.0;;;25.0
